season,label,image_name,light_%,medium_%,dark_%
Autumn,Autumn,Autumn 01 Shanghai M.jpg,0.431,0.385,0.183
Autumn,Autumn,Autumn 03 BPM.jpg,0.524,0.362,0.114
Autumn,Autumn,Autumn 04 Shanghai M.jpg,0.636,0.22,0.145
Autumn,Autumn,Autumn 05 NPM.jpg,0.53,0.33,0.14
Autumn,Autumn,Autumn 06 NPM.jpg,0.736,0.149,0.115
Autumn,Autumn,Autumn 08 Cleveland.jpg,0.405,0.416,0.178
Autumn,Autumn,Autumn 10 NPM.jpg,0.68,0.193,0.127
Autumn,Autumn,Autumn 11 NPM.jpg,0.703,0.159,0.139
Autumn,Autumn,Autumn 12 NPM.jpg,0.713,0.185,0.102
Autumn,Autumn,Autumn 13 NPM.jpg,0.721,0.159,0.12
Autumn,Autumn,Autumn 15 NPM.jpg,0.714,0.182,0.103
Autumn,Autumn,Autumn 16 NPM.png,0.613,0.212,0.175
Autumn,Autumn,Autumn 18 Cleveland.jpg,0.463,0.353,0.184
Autumn,Autumn,Autumn 19 Cleveland.jpg,0.381,0.476,0.143
Autumn,Autumn,Autumn 20 Cleveland.jpg,0.587,0.299,0.114
Autumn,Autumn,Autumn 21 Cleveland.jpg,0.714,0.165,0.121
Autumn,Autumn,Autumn 22 BM.jpg,0.681,0.195,0.123
Autumn,Autumn,Autumn 23 NPM.jpg,0.486,0.326,0.188
Autumn,Autumn,Autumn 24 NPM.jpg,0.536,0.325,0.139
Autumn,Autumn,Autumn 25 NPM.jpg,0.466,0.372,0.162
Autumn,Autumn,Autumn 26 NPM.png,0.623,0.203,0.174
Autumn,Autumn,Autumn 27 NPM.png,0.674,0.19,0.136
Autumn,Autumn_Desolate,Autumn_Desolate 01 MET.jpg,0.576,0.282,0.142
Autumn,Autumn_Desolate,Autumn_Desolate 02 Celeveland.jpg,0.603,0.28,0.117
Autumn,Autumn_Desolate,Autumn_Desolate 03 NPM.jpg,0.705,0.166,0.128
Autumn,Autumn_Desolate,Autumn_Desolate 04 NPM.jpg,0.698,0.162,0.139
Autumn,Autumn_Desolate,Autumn_Desolate 05 Shanghai.jpg,0.57,0.352,0.078
Autumn,Autumn_Desolate,Autumn_Desolate 06 Shanghai.jpg,0.618,0.239,0.143
Autumn,Autumn_Desolate,Autumn_Desolate 07 NPM.jpg,0.578,0.321,0.101
Autumn,Autumn_Desolate,Autumn_Desolate 08 Nanjing.jpg,0.794,0.099,0.108
Autumn,Autumn_Desolate,Autumn_Desolate 09 BPM.jpg,0.724,0.186,0.091
Autumn,Autumn_Desolate,Autumn_Desolate 10 NPM.jpg,0.545,0.335,0.12
Autumn,Autumn_Desolate,Autumn_Desolate 11 NPM.jpg,0.776,0.105,0.119
Autumn,Autumn_Desolate,Autumn_Desolate 12 NPM.jpg,0.611,0.284,0.105
Autumn,Autumn_Desolate,Autumn_Desolate 13 Shanghai.jpg,0.619,0.236,0.145
Autumn,Autumn_Seclusion,Autumn_Seclusion 01 NPM.jpg,0.564,0.289,0.147
Autumn,Autumn_Seclusion,Autumn_Seclusion 02 NPM.jpg,0.47,0.392,0.138
Autumn,Autumn_Seclusion,Autumn_Seclusion 03 NPM.jpg,0.543,0.279,0.178
Autumn,Autumn_Seclusion,Autumn_Seclusion 04 NPM.jpg,0.577,0.236,0.187
Autumn,Autumn_Seclusion,Autumn_Seclusion 05 NPM.jpg,0.519,0.34,0.141
Autumn,Autumn_Seclusion,Autumn_Seclusion 06 NPM.jpg,0.484,0.338,0.177
Autumn,Autumn_Seclusion,Autumn_Seclusion 07 MFA Boston.jpg,0.467,0.396,0.137
Autumn,Autumn_Seclusion,Autumn_Seclusion 08 NPM.jpg,0.679,0.2,0.121
Autumn,Autumn_Seclusion,Autumn_Seclusion 09 MFA Boston.jpg,0.42,0.419,0.161
Autumn,Autumn_Seclusion,Autumn_Seclusion 10 NPM.jpg,0.552,0.298,0.151
Autumn,Autumn_Seclusion,Autumn_Seclusion 12 NPM.jpg,0.553,0.252,0.195
Autumn,Autumn_Seclusion,Autumn_Seclusion 13 BPM.jpg,0.542,0.231,0.227
Autumn,Autumn_Seclusion,Autumn_Seclusion 14 NPM.jpg,0.476,0.236,0.287
Autumn,Autumn_Seclusion,Autumn_Seclusion 15 NPM.jpg,0.557,0.318,0.125
Autumn,Autumn_Seclusion,Autumn_Seclusion 16 NPM.jpg,0.38,0.339,0.281
Spring,Spring,Spring 03 NPM.jpg,0.508,0.325,0.167
Spring,Spring,Spring 04 NPM.jpg,0.516,0.223,0.261
Spring,Spring,Spring 09 NPM.jpg,0.625,0.205,0.17
Spring,Spring,Spring 10 NPM.jpg,0.38,0.417,0.204
Spring,Spring,Spring 12 Shanghai.jpg,0.499,0.348,0.153
Spring,Spring,Spring 13 Cleveland.tif,0.566,0.311,0.123
Spring,Spring,Spring 14 Cleveland.jpg,0.458,0.348,0.195
Spring,Spring,Spring 15 Cleveland.jpg,0.408,0.333,0.259
Spring,Spring,Spring 16 Cleveland.jpg,0.405,0.409,0.186
Spring,Spring,Spring 19 Cleveland.jpg,0.692,0.173,0.135
Spring,Spring,Spring 20 MET.jpg,0.381,0.404,0.216
Spring,Spring,Spring 21 NPM.jpg,0.394,0.458,0.148
Spring,Spring,Spring 22 NPM.jpg,0.316,0.495,0.189
Spring,Spring,Spring 23 NPM.jpg,0.457,0.304,0.24
Spring,Spring,Spring 24 NPM.jpg,0.543,0.274,0.182
Spring,Spring,Spring 25 BPM.jpg,0.32,0.489,0.191
Spring,Spring,Spring 26 Shanghai.jpg,0.394,0.477,0.13
Spring,Spring,Spring 27 Shanghai.jpg,0.481,0.347,0.173
Spring,Spring,Spring 28 NPM.jpg,0.691,0.178,0.131
Spring,Spring,Spring 29 MET.jpg,0.68,0.165,0.155
Spring,Spring,Spring 30 NPM.png,0.501,0.312,0.187
Spring,Spring,Spring 31 NPM.png,0.591,0.254,0.155
Spring,Spring,Spring 32 NPM.png,0.597,0.233,0.17
Spring,Spring_Entrance,Spring_Entrance 01 NPM.jpg,0.68,0.203,0.117
Spring,Spring_Entrance,Spring_Entrance 02 NPM.jpg,0.316,0.44,0.244
Spring,Spring_Entrance,Spring_Entrance 04 NPM.jpg,0.642,0.202,0.155
Spring,Spring_Entrance,Spring_Entrance 06 NPM.jpg,0.472,0.338,0.19
Spring,Spring_Entrance,Spring_Entrance 07 MFA Boston.jpg,0.207,0.553,0.239
Spring,Spring_Entrance,Spring_Entrance 08 NPM.png,0.356,0.325,0.318
Spring,Spring_Entrance,Spring_Entrance 09 NPM.png,0.663,0.18,0.157
Spring,Spring_Entrance,Spring_Entrance 10 Cleveland.jpg,0.566,0.282,0.152
Spring,Spring_Entrance,Spring_Entrance 11 NPM.jpg,0.509,0.166,0.325
Spring,Spring_Entrance,Spring_Entrance 12 NPM.jpg,0.656,0.216,0.128
Spring,Spring_Entrance,Spring_Entrance 13 NPM.jpg,0.618,0.224,0.158
Spring,Spring_Entrance,Spring_Entrance 14 NPM.jpg,0.559,0.283,0.158
Spring,Spring_Entrance,Spring_Entrance 15 NPM.jpg,0.586,0.25,0.164
Spring,Spring_Leisure,Spring_Leisure 01 NMA.jpg,0.53,0.294,0.176
Spring,Spring_Leisure,Spring_Leisure 02 BPM.jpg,0.515,0.231,0.254
Spring,Spring_Leisure,Spring_Leisure 03 BPM.jpg,0.497,0.297,0.207
Spring,Spring_Leisure,Spring_Leisure 04 Najing Museum.jpg,0.622,0.264,0.114
Spring,Spring_Leisure,Spring_Leisure 05 Nelson Atkins.jpg,0.532,0.27,0.199
Spring,Spring_Leisure,Spring_Leisure 07 NPM.jpg,0.524,0.293,0.183
Spring,Spring_Leisure,Spring_Leisure 08 NPM.png,0.692,0.183,0.124
Spring,Spring_Leisure,Spring_Leisure 09 NPM.jpg,0.474,0.291,0.236
Spring,Spring_Leisure,Spring_Leisure 10 NPM.jpg,0.319,0.471,0.21
Spring,Spring_Leisure,Spring_Leisure 11 NPM.jpg,0.517,0.373,0.11
Spring,Spring_Leisure,Spring_Leisure 12 NPM.jpg,0.734,0.154,0.113
Spring,Spring_Leisure,Spring_Leisure 13 NPM.jpg,0.526,0.328,0.146
Spring,Spring_Leisure,Spring_Leisure 14 NPM.jpg,0.579,0.262,0.158
Spring,Spring_Leisure,Spring_Leisure 15 NPM.jpg,0.711,0.162,0.127
Summer,Summer,Summer 01 NPM.jpg,0.397,0.338,0.265
Summer,Summer,Summer 05 NPM.jpg,0.521,0.294,0.185
Summer,Summer,Summer 06 NPM.jpg,0.531,0.262,0.208
Summer,Summer,Summer 07 NPM.jpg,0.523,0.175,0.302
Summer,Summer,Summer 08 NPM.jpg,0.507,0.231,0.262
Summer,Summer,Summer 09 NPM.jpg,0.387,0.41,0.203
Summer,Summer,Summer 10 NPM.jpg,0.576,0.199,0.224
Summer,Summer,Summer 11 Nanjing.jpg,0.538,0.274,0.187
Summer,Summer,Summer 13 BPM.jpg,0.302,0.458,0.24
Summer,Summer,Summer 14 NPM.jpg,0.557,0.214,0.23
Summer,Summer,Summer 15 NPM.jpg,0.484,0.341,0.175
Summer,Summer,Summer 16 Cleveland.jpg,0.528,0.284,0.188
Summer,Summer,Summer 17 NMA.jpg,0.287,0.334,0.379
Summer,Summer,Summer 18 NPM.jpg,0.447,0.304,0.249
Summer,Summer,Summer 19 NPM.jpg,0.353,0.396,0.251
Summer,Summer,Summer 20 Liaoning.jpg,0.356,0.356,0.289
Summer,Summer,Summer 21 NPM.jpg,0.599,0.171,0.23
Summer,Summer,Summer 23 Nelson Atkins.jpg,0.247,0.452,0.302
Summer,Summer,Summer 24 Nanjing Museum.jpg,0.511,0.266,0.223
Summer,Summer,Summer 25 NPM.jpg,0.427,0.412,0.161
Summer,Summer,Summer 27 NPM.png,0.415,0.279,0.305
Summer,Summer,Summer 28 NPM.png,0.504,0.299,0.197
Summer,Summer,Summer 30 NPM.png,0.384,0.339,0.277
Summer,Summer_Coolness,Summer_Coolness 01 NPM.jpg,0.412,0.404,0.184
Summer,Summer_Coolness,Summer_Coolness 03 NPM.jpg,0.654,0.215,0.13
Summer,Summer_Coolness,Summer_Coolness 04 NPM.jpg,0.561,0.298,0.142
Summer,Summer_Coolness,Summer_Coolness 06 NPM.jpg,0.57,0.22,0.21
